notice_pmid,notice_doi,notice_title,notice_abstract,journal,year,publication_types,original_pmid,likely_misconduct,original_doi,original_title,container_title,retraction_abstract
40374150,10.1016/j.fitote.2025.106621,WITHDRAWN: Integrating serum pharmacochemistry and network pharmacology to explore the potential mechanisms of Xianshen formula in the prevention of exercise-induced fatigue.,This article has been withdrawn at the request of the author(s) and/or editor due to an error in the publishing process. The Publisher apologizes for any inconvenience this may cause. The full Elsevier Policy on Article Withdrawal can be found at https://www.elsevier.com/about/policies-and-standards/article-withdrawal.,Fitoterapia,2025,Journal Article; Retracted Publication,,False,10.1016/j.fitote.2025.106621,WITHDRAWN: Integrating serum pharmacochemistry and network pharmacology to explore the potential mechanisms of Xianshen formula in the prevention of exercise-induced fatigue.,Fitoterapia,This article has been withdrawn at the request of the author(s) and/or editor due to an error in the publishing process. The Publisher apologizes for any inconvenience this may cause. The full Elsevier Policy on Article Withdrawal can be found at https://www.elsevier.com/about/policies-and-standards/article-withdrawal.
40373946,10.1016/j.clindermatol.2025.05.011,WITHDRAWN: Cancer and Hidradenitis Suppurativa.,"The Publisher regrets that this article is an accidental duplication of an article that has already been published, http://dx.doi.org/10.1016/j.clindermatol.2025.05.011. The duplicate article has therefore been withdrawn. The full Elsevier Policy on Article Withdrawal can be found at https://www.elsevier.com/about/policies-and-standards/article-withdrawal.",Clinics in dermatology,2025,Journal Article; Retracted Publication,,False,10.1016/j.clindermatol.2025.05.011,WITHDRAWN: Cancer and Hidradenitis Suppurativa.,Clinics in dermatology,"The Publisher regrets that this article is an accidental duplication of an article that has already been published, http://dx.doi.org/10.1016/j.clindermatol.2025.05.011. The duplicate article has therefore been withdrawn. The full Elsevier Policy on Article Withdrawal can be found at https://www.elsevier.com/about/policies-and-standards/article-withdrawal."
40349810,10.1016/j.cellsig.2025.111860,WITHDRAWN: LINC01614 enhances neural invasion and gastric cancer progression by stabilizing VCAM1 and activating the AKT/mTOR pathway.,This article has been withdrawn at the request of the author(s) and/or editor due to an error in the publishing process. The Publisher apologizes for any inconvenience this may cause. The full Elsevier Policy on Article Withdrawal can be found at https://www.elsevier.com/about/policies-and-standards/article-withdrawal.,Cellular signalling,2025,Journal Article; Retracted Publication,,False,10.1016/j.cellsig.2025.111860,WITHDRAWN: LINC01614 enhances neural invasion and gastric cancer progression by stabilizing VCAM1 and activating the AKT/mTOR pathway.,Cellular signalling,This article has been withdrawn at the request of the author(s) and/or editor due to an error in the publishing process. The Publisher apologizes for any inconvenience this may cause. The full Elsevier Policy on Article Withdrawal can be found at https://www.elsevier.com/about/policies-and-standards/article-withdrawal.
40316200,10.1016/j.jbspin.2025.105915,WITHDRAWN: Weighing in on obesity and psoriatic arthritis - Time to move beyond association to robust randomised trials.,"The Publisher regrets that this article is an accidental duplication of an article that has already been published, https://doi.org/10.1016/j.jbspin.2025.105904. The duplicate article has therefore been withdrawn. The full Elsevier Policy on Article Withdrawal can be found at https://www.elsevier.com/about/policies-and-standards/article-withdrawal.",Joint bone spine,2025,Journal Article; Retracted Publication,,False,10.1016/j.jbspin.2025.105915,WITHDRAWN: Weighing in on obesity and psoriatic arthritis - Time to move beyond association to robust randomised trials.,Joint bone spine,"The Publisher regrets that this article is an accidental duplication of an article that has already been published, https://doi.org/10.1016/j.jbspin.2025.105904. The duplicate article has therefore been withdrawn. The full Elsevier Policy on Article Withdrawal can be found at https://www.elsevier.com/about/policies-and-standards/article-withdrawal."
40280336,10.1016/j.ijcard.2025.133309,RETRACTED: Myocardial contraction fraction in HFpEF: Prognostic value and unaddressed confounders.,"This article has been retracted: please see Elsevier policy on Article Correction, Retraction and Removal (https://www.elsevier.com/about/policies-and-standards/article-withdrawal). This Letter to the Editor, 'Myocardial contraction fraction in HFpEF: Prognostic value and unaddressed confounders', has been retracted at the request of the Editor-in-Chief and the Authors. The authors have notified the journal that the suggestion on the effects of disorders in serum potassium levels and unadjusted confounding factors such as patients with cardiomyopathy requires substantial clarification. The authors' exploration of MCF was primarily preliminary, and has inadvertently misrepresented the authors' discussion. Due to the significance of the reanalysis and its potential implications for the study's interpretation, the authors and the editorial board have agreed that the most responsible course of action is to retract the article.",International journal of cardiology,2025,Letter; Retracted Publication,,False,10.1016/j.ijcard.2025.133309,RETRACTED: Myocardial contraction fraction in HFpEF: Prognostic value and unaddressed confounders.,International journal of cardiology,"This article has been retracted: please see Elsevier policy on Article Correction, Retraction and Removal (https://www.elsevier.com/about/policies-and-standards/article-withdrawal). This Letter to the Editor, 'Myocardial contraction fraction in HFpEF: Prognostic value and unaddressed confounders', has been retracted at the request of the Editor-in-Chief and the Authors. The authors have notified the journal that the suggestion on the effects of disorders in serum potassium levels and unadjusted confounding factors such as patients with cardiomyopathy requires substantial clarification. The authors' exploration of MCF was primarily preliminary, and has inadvertently misrepresented the authors' discussion. Due to the significance of the reanalysis and its potential implications for the study's interpretation, the authors and the editorial board have agreed that the most responsible course of action is to retract the article."
40228635,10.1016/j.bcp.2025.116949,Withdrawal notice to: ATR-mediated phosphorylation of RIPK1 inhibits DNA damage-induced necroptosis.,This article has been withdrawn at the request of the editor and publisher. The publisher regrets that an error occurred which led to the premature publication of this paper. This error bears no reflection on the article or its authors. The publisher apologizes to the authors and the readers for this unfortunate error. The full Elsevier Policy on Article Withdrawal can be found at (https://www.elsevier.com/about/policies-and-standards/article-withdrawal).,Biochemical pharmacology,2025,Journal Article; Retraction Notice; Retracted Publication,,False,10.1016/j.bcp.2025.116949,Withdrawal notice to: ATR-mediated phosphorylation of RIPK1 inhibits DNA damage-induced necroptosis.,Biochemical pharmacology,This article has been withdrawn at the request of the editor and publisher. The publisher regrets that an error occurred which led to the premature publication of this paper. This error bears no reflection on the article or its authors. The publisher apologizes to the authors and the readers for this unfortunate error. The full Elsevier Policy on Article Withdrawal can be found at (https://www.elsevier.com/about/policies-and-standards/article-withdrawal).
40216257,10.1016/j.slast.2025.100289,WITHDRAWN: An ultra-performance liquid chromatography-tandem mass spectrometry method for the determination of deoxycholic acid and application to a pharmacokinetic study in human plasma.,This article has been withdrawn at the request of the author(s) and/or editor due to an error in the publishing process. The Publisher apologizes for any inconvenience this may cause. The full Elsevier Policy on Article Withdrawal can be found at https://www.elsevier.com/about/policies-and-standards/article-withdrawal.,SLAS technology,2025,Journal Article; Retracted Publication,,False,10.1016/j.slast.2025.100289,WITHDRAWN: An ultra-performance liquid chromatography-tandem mass spectrometry method for the determination of deoxycholic acid and application to a pharmacokinetic study in human plasma.,SLAS technology,This article has been withdrawn at the request of the author(s) and/or editor due to an error in the publishing process. The Publisher apologizes for any inconvenience this may cause. The full Elsevier Policy on Article Withdrawal can be found at https://www.elsevier.com/about/policies-and-standards/article-withdrawal.
40204156,10.1016/j.virs.2025.04.002,WITHDRAWN: Comparative metatranscriptome analysis in gut reveals insignificant host or microbiota changes in SARS-related coronavirus naturally infected bats.,The publisher regrets that this article has withdrawn. The full Elsevier Policy on Article Withdrawal can be found athttps://www.elsevier.com/about/policies-and-standards/article-withdrawal.,Virologica Sinica,2025,Journal Article; Retracted Publication,,False,10.1016/j.virs.2025.04.002,WITHDRAWN: Comparative metatranscriptome analysis in gut reveals insignificant host or microbiota changes in SARS-related coronavirus naturally infected bats.,Virologica Sinica,The publisher regrets that this article has withdrawn. The full Elsevier Policy on Article Withdrawal can be found athttps://www.elsevier.com/about/policies-and-standards/article-withdrawal.
40199110,10.1016/j.chemosphere.2025.144353,"RETRACTED: Meteorological influences on air pollution dynamics in pollution epicentre of National Capital Region, India.","This article has been retracted: please see Elsevier policy on article withdrawal (https://www.elsevier.com/about/policies-and-standards/article-withdrawal). This article has been retracted at the request of the Editors. The journal was contacted by Jan Cermak who informed us that he had not consented to the submission of this paper and should not be listed as an author as he made no meaningful contribution to it and that, therefore, his role as documented in the article's 'sCRediT authorship contribution statement's is incorrect. The corresponding author, Susanta Mahato, was contacted about these concerns and provided various items of documentation regarding a visit to Professor Cermak'ss lab from May to July 2024 and an email to Professor Cermak making him aware of a manuscript that was in preparation. However, none of this documentation provided any evidence that Professor Cermak had consented to be an author of the manuscript. It was also discovered that Mahato had provided an incorrect email address for Cermak during the submission process. Authors Joshi and Kindu confirmed that they had consented to submission, although author Joshi indicated that the email address provided by Mahato during the submission process was also incorrect. The Editors have therefore lost confidence in the contributions of the authors presented in this article as a whole, and are retracting it.",Chemosphere,2025,Journal Article; Retracted Publication,,False,10.1016/j.chemosphere.2025.144353,"RETRACTED: Meteorological influences on air pollution dynamics in pollution epicentre of National Capital Region, India.",Chemosphere,"This article has been retracted: please see Elsevier policy on article withdrawal (https://www.elsevier.com/about/policies-and-standards/article-withdrawal). This article has been retracted at the request of the Editors. The journal was contacted by Jan Cermak who informed us that he had not consented to the submission of this paper and should not be listed as an author as he made no meaningful contribution to it and that, therefore, his role as documented in the article's 'sCRediT authorship contribution statement's is incorrect. The corresponding author, Susanta Mahato, was contacted about these concerns and provided various items of documentation regarding a visit to Professor Cermak'ss lab from May to July 2024 and an email to Professor Cermak making him aware of a manuscript that was in preparation. However, none of this documentation provided any evidence that Professor Cermak had consented to be an author of the manuscript. It was also discovered that Mahato had provided an incorrect email address for Cermak during the submission process. Authors Joshi and Kindu confirmed that they had consented to submission, although author Joshi indicated that the email address provided by Mahato during the submission process was also incorrect. The Editors have therefore lost confidence in the contributions of the authors presented in this article as a whole, and are retracting it."
40158566,10.1016/j.ijbiomac.2025.142612,WITHDRAWN: Exopolysaccharide from Bifidobacterium longum subsp. infantis E4: Structural analysis and immunoregulation activities.,This article has been withdrawn at the request of the author(s) and/or editor due to an error in the publishing process. The Publisher apologizes for any inconvenience this may cause. The full Elsevier Policy on Article Withdrawal can be found at https://www.elsevier.com/about/policies-and-standards/article-withdrawal.,International journal of biological macromolecules,2025,Journal Article; Retracted Publication,,False,10.1016/j.ijbiomac.2025.142612,WITHDRAWN: Exopolysaccharide from Bifidobacterium longum subsp. infantis E4: Structural analysis and immunoregulation activities.,International journal of biological macromolecules,This article has been withdrawn at the request of the author(s) and/or editor due to an error in the publishing process. The Publisher apologizes for any inconvenience this may cause. The full Elsevier Policy on Article Withdrawal can be found at https://www.elsevier.com/about/policies-and-standards/article-withdrawal.
40122385,10.1016/j.slast.2025.100273,WITHDRAWN: Intelligent Medical Assessment of the Impact of Anesthesia and Sedation Depth on Cognitive Function after Gynecological Laparoscopic Surgery.,This article has been withdrawn at the request of the author(s) and/or editor due to an error in the publishing process. The Publisher apologizes for any inconvenience this may cause. The full Elsevier Policy on Article Withdrawal can be found at https://www.elsevier.com/about/policies-and-standards/article-withdrawal.,SLAS technology,2025,Journal Article; Retracted Publication,,False,10.1016/j.slast.2025.100273,WITHDRAWN: Intelligent Medical Assessment of the Impact of Anesthesia and Sedation Depth on Cognitive Function after Gynecological Laparoscopic Surgery.,SLAS technology,This article has been withdrawn at the request of the author(s) and/or editor due to an error in the publishing process. The Publisher apologizes for any inconvenience this may cause. The full Elsevier Policy on Article Withdrawal can be found at https://www.elsevier.com/about/policies-and-standards/article-withdrawal.
40122220,10.1016/j.ijpharm.2025.125475,WITHDRAWN: Impact of various electromagnetic fields on the transdermal permeability of naproxen and the effect of active compound exposure on magnetic field properties.,This article has been withdrawn: please see Elsevier Policy on Article Withdrawal (https://www.elsevier.com/about/policies-and-standards/article-withdrawal). This article has been withdrawn at the request of the editor and publisher. The publisher regrets that an error occurred which led to the premature publication of this paper. This error bears no reflection on the article or its authors. The publisher apologizes to the authors and the readers for this unfortunate error.,International journal of pharmaceutics,2025,Journal Article; Retracted Publication,,False,10.1016/j.ijpharm.2025.125475,WITHDRAWN: Impact of various electromagnetic fields on the transdermal permeability of naproxen and the effect of active compound exposure on magnetic field properties.,International journal of pharmaceutics,This article has been withdrawn: please see Elsevier Policy on Article Withdrawal (https://www.elsevier.com/about/policies-and-standards/article-withdrawal). This article has been withdrawn at the request of the editor and publisher. The publisher regrets that an error occurred which led to the premature publication of this paper. This error bears no reflection on the article or its authors. The publisher apologizes to the authors and the readers for this unfortunate error.
40102170,10.1016/j.ctarc.2025.100873,WITHDRAWN: Association between Prostatic Calculi and Prostate Cancer.,This article has been withdrawn at the request of the author(s) and/or editor. The Publisher apologizes for any inconvenience this may cause. The full Elsevier Policy on Article Withdrawal can be found at https://www.elsevier.com/about/policies/article-withdrawal.,Cancer treatment and research communications,2025,Journal Article; Retracted Publication,,False,10.1016/j.ctarc.2025.100873,WITHDRAWN: Association between Prostatic Calculi and Prostate Cancer.,Cancer treatment and research communications,This article has been withdrawn at the request of the author(s) and/or editor. The Publisher apologizes for any inconvenience this may cause. The full Elsevier Policy on Article Withdrawal can be found at https://www.elsevier.com/about/policies/article-withdrawal.
