paper_id,paper_title,paper_category,spot_error_category,spot_error_severity,spot_annotation,finding_idx,gd_finding_location,gd_finding,arbiter_justification,source,survived_steelman,human_verdict,notes
10.1038_s41598-025-85894-3,Photocatalytic removal of textile wastewater-originated methylene blue and malachite green dyes using spent black tea extract-coated silver nanoparticles,Multidisciplinary,Data inconsistency,errata,"The error in Fig. 4 is that the UV-Vis spectrum for the ""chemically synthesized Ag nanoparticles"" displays an artifact—a sharp, anomalous peak at ~260 nm—due to unfiltered junk data not being removed before plotting, and the horizontal axis label is also misspelled.",1,,"Degradation/removal in wastewater is inferred from raw absorbance decreases at selected wavelengths without controls for nanoparticle scattering, adsorption onto particles, agglomeration/settling, matrix background changes, or dilution effects. No dark control, no catalyst-free light control, no extract-only control.","The paper claims photocatalytic degradation as its main outcome, but the experimental design cannot distinguish photocatalysis from adsorption, flocculation, settling, or photolysis. The comparison is AgNPs+room light vs. AgNPs+sunlight (i.e., light vs. more light), with no dark control. Both reviewers flagged this. Review A initially rated it RETRACTION-WORTHY, then softened slightly during steelman; Review B rated the missing controls as MAJOR-REVISION but upgraded the overall mechanistic claim to unsupported during steelman. The combination of no mechanistic controls plus absorbance-only measurement in a complex matrix means the central photocatalytic degradation conclusion cannot be supported by the presented data.",both,True,,
10.1186_s12964-024-01868-4,Illuminating the dark kinome: utilizing multiplex peptide activity arrays to functionally annotate understudied kinases,Biology,Reagent identity,errata,"The error is that the recombinant protein fragments used for at least three kinases do not include their respective kinase domains, meaning the reagents do not have intrinsic kinase activity and the experimental results do not reflect actual kinase function for those proteins.",0,,"Human schizophrenia vs. control kinome analysis is based on pooled samples (one pool per sex-by-diagnosis group) with only technical triplicates, constituting pseudoreplication that eliminates valid statistical inference about disease effects, sex-specific effects, and all downstream analyses derived from these comparisons.","Both reviewers independently rated this RETRACTION-WORTHY. Both steelman exchanges confirmed the severity without downgrade. Pooling removes all biological variance estimation; technical triplicates of a single pooled sample cannot support inferential claims about population-level disease or sex differences. All reported differential phosphorylation, upstream kinase predictions, peptide set enrichment linking dark kinases to schizophrenia, and sex-specific schizophrenia claims are fundamentally unsupported. This infects the paper's central disease-association narrative.",both,True,,
10.1186_s12964-024-01868-4,Illuminating the dark kinome: utilizing multiplex peptide activity arrays to functionally annotate understudied kinases,Biology,Reagent identity,errata,"The error is that the recombinant protein fragments used for at least three kinases do not include their respective kinase domains, meaning the reagents do not have intrinsic kinase activity and the experimental results do not reflect actual kinase function for those proteins.",1,,"The sole validation experiment (EPHA6/GAB1 co-incubation mass spectrometry) is a single unreplicated experiment lacking FDR control and phosphosite confidence metrics, and the reported EPHA6 autophosphorylation sites (pY259, pY484) appear impossible given the stated recombinant construct spanning residues 683-1130.","The paper claims 195 novel kinase-substrate interactions but validates only one pair, and that single validation has no replication, no statistical framework, and a site-numbering problem that suggests either the construct, the numbering, or the MS annotation is wrong. Reviewer A identified the site inconsistency; Reviewer B acknowledged missing it and agreed it was devastating. In steelman, B upgraded the overall validation problem to RETRACTION-WORTHY when combined with the site inconsistency. Without even one credible validation, the entire substrate discovery pipeline lacks ground truth. Confidence is slightly lower than for the pooled-sample finding because the site-numbering issue could conceivably reflect a reporting/isoform numbering error rather than a data error, but even so the validation remains critically inadequate.",both,True,,
10.5539_jsd.v17n6p137,The Scientific Case Against Net Zero: Falsifying the Greenhouse Gas Hypothesis,Environmental Science,Equation / proof,errata,"The author used the base-10 logarithm (log10) instead of the natural logarithm (ln, neperian logarithm) in the IPCC radiative forcing equation, resulting in incorrect temperature change calculations.",0,,"Misuse of the Ideal Gas Law as a causal explanation for planetary surface temperatures, used to dismiss the greenhouse effect. PV=nRT is an equation of state, not an energy balance theory; it cannot determine equilibrium temperature without radiative boundary conditions.",Both reviewers identify this as a fundamental physical error. The ideal gas law relates state variables but does not independently explain why a planet has a particular temperature. This error underpins one of the paper's central physical arguments against the greenhouse effect. It is not a matter of interpretation — it is a category error in physics.,both,True,,
10.5539_jsd.v17n6p137,The Scientific Case Against Net Zero: Falsifying the Greenhouse Gas Hypothesis,Environmental Science,Equation / proof,errata,"The author used the base-10 logarithm (log10) instead of the natural logarithm (ln, neperian logarithm) in the IPCC radiative forcing equation, resulting in incorrect temperature change calculations.",1,,"Conflation of CO₂ molecular residence time (~3-5 years) with the perturbation lifetime of anthropogenic CO₂ (centuries). The manuscript uses rapid molecular exchange to argue that anthropogenic CO₂ cannot accumulate, ignoring ocean buffering chemistry and multi-reservoir dynamics.","Both reviewers flag this as a well-known, basic carbon-cycle error. The distinction between individual molecular turnover and net perturbation removal is foundational. This error directly supports the paper's central claim that human CO₂ emissions are inconsequential, and its correction would eliminate that conclusion. Isotopic evidence (δ¹³C, ¹⁴C) independently confirms the anthropogenic origin of the CO₂ increase, which the manuscript ignores.",both,True,,
10.5539_jsd.v17n6p137,The Scientific Case Against Net Zero: Falsifying the Greenhouse Gas Hypothesis,Environmental Science,Equation / proof,errata,"The author used the base-10 logarithm (log10) instead of the natural logarithm (ln, neperian logarithm) in the IPCC radiative forcing equation, resulting in incorrect temperature change calculations.",2,,"No systematic review methodology: no search strategy, databases, inclusion/exclusion criteria, quality assessment, or synthesis protocol. The paper claims to be an evidence-based review but provides no reproducible method.","Both reviewers identify this as fatal for a review article. The paper's conclusions depend entirely on which literature is surveyed and how it is evaluated. Without a transparent methodology, the review is non-reproducible and its conclusions are unsupported by any verifiable process. This is not a minor reporting gap — for a review article, the method IS the study design.",both,True,,
10.5539_jsd.v17n6p137,The Scientific Case Against Net Zero: Falsifying the Greenhouse Gas Hypothesis,Environmental Science,Equation / proof,errata,"The author used the base-10 logarithm (log10) instead of the natural logarithm (ln, neperian logarithm) in the IPCC radiative forcing equation, resulting in incorrect temperature change calculations.",3,,"Severe selection bias: the manuscript overwhelmingly relies on advocacy organizations (Heartland, GWPF, CO2 Coalition, Net Zero Watch), blogs, self-published books, and low-impact/fringe journals while systematically excluding or dismissing the mainstream peer-reviewed literature without methodological justification.","Both reviewers flag this. For a review article, the evidence base determines the conclusions. A systematically biased source selection toward ideologically aligned, non-peer-reviewed material — while ignoring thousands of peer-reviewed papers from leading journals — means the review's synthesis is fundamentally unreliable. Reviewer B rated this MAJOR-REVISION, but given that it is inseparable from the missing methodology and directly determines all conclusions, the combined effect is retraction-worthy.",both,True,,
10.5539_jsd.v17n6p137,The Scientific Case Against Net Zero: Falsifying the Greenhouse Gas Hypothesis,Environmental Science,Equation / proof,errata,"The author used the base-10 logarithm (log10) instead of the natural logarithm (ln, neperian logarithm) in the IPCC radiative forcing equation, resulting in incorrect temperature change calculations.",4,,"Failure to engage with mainstream attribution, carbon-budget, and assessment literature while making sweeping claims that overturn those fields. The paper does not address the strongest contrary evidence (satellite spectral measurements, vertical warming patterns, isotopic constraints, paleoclimate sensitivity estimates).",Both reviewers identify this. A review claiming to overturn established science must rigorously engage the strongest opposing evidence. The manuscript simply declares mainstream findings 'non-existent' or 'invalid' without substantive rebuttal. This is not a minor omission — it means the paper's extraordinary claims lack the extraordinary evidence required.,both,True,,
10.5539_jsd.v17n6p137,The Scientific Case Against Net Zero: Falsifying the Greenhouse Gas Hypothesis,Environmental Science,Equation / proof,errata,"The author used the base-10 logarithm (log10) instead of the natural logarithm (ln, neperian logarithm) in the IPCC radiative forcing equation, resulting in incorrect temperature change calculations.",5,,"Invalid inference from annual anthropogenic flux being a small fraction of gross natural fluxes to the claim that human contribution to atmospheric CO₂ is negligible. The relevant quantity is net imbalance, not gross source fraction.",Both reviewers flag this. Natural fluxes are approximately balanced; the anthropogenic addition is a net perturbation to a near-equilibrium system. This is a basic stock-flow accounting error that directly underlies the paper's claim that human CO₂ is too small to matter.,both,True,,
10.5539_jsd.v17n6p137,The Scientific Case Against Net Zero: Falsifying the Greenhouse Gas Hypothesis,Environmental Science,Equation / proof,errata,"The author used the base-10 logarithm (log10) instead of the natural logarithm (ln, neperian logarithm) in the IPCC radiative forcing equation, resulting in incorrect temperature change calculations.",6,,"Claim that logarithmic dependence of radiative forcing on CO₂ concentration means added CO₂ has negligible climatic effect. Logarithmic forcing implies approximately constant forcing per doubling, not negligible effect.","Both reviewers identify this as a non sequitur from the manuscript's own cited formulae. Reviewer B additionally notes that the paper's own Figure 1 shows 0.64-0.81°C warming per doubling, contradicting the 'negligible' characterization in the text. The conclusion drawn is not supported by the mathematics presented.",both,True,,
10.5539_jsd.v17n6p137,The Scientific Case Against Net Zero: Falsifying the Greenhouse Gas Hypothesis,Environmental Science,Equation / proof,errata,"The author used the base-10 logarithm (log10) instead of the natural logarithm (ln, neperian logarithm) in the IPCC radiative forcing equation, resulting in incorrect temperature change calculations.",7,,"Misrepresentation of greenhouse physics: the manuscript states the IPCC explanation 'makes no sense scientifically' and is 'immediately falsified,' but provides no correct radiative-transfer derivation and ignores radiative-convective equilibrium, emission-level arguments, spectroscopy evidence, and the well-verified spectral fingerprint of greenhouse forcing.",Both reviewers identify this. The paper's central thesis is that greenhouse-gas warming lacks scientific basis. A wholesale mischaracterization of the underlying physics — attacking straw mechanisms rather than the actual theory — invalidates this central conclusion.,both,True,,
10.5539_jsd.v17n6p137,The Scientific Case Against Net Zero: Falsifying the Greenhouse Gas Hypothesis,Environmental Science,Equation / proof,errata,"The author used the base-10 logarithm (log10) instead of the natural logarithm (ln, neperian logarithm) in the IPCC radiative forcing equation, resulting in incorrect temperature change calculations.",8,,"Claim that 'no increase in floods, droughts, hurricanes, or extreme weather events' has been observed, contradicting IPCC AR6 documented increases in extreme precipitation intensity, heatwave frequency, and regional changes in drought and tropical cyclone intensity.","Both reviewers flag this. The claim is presented as established fact using selective citations while ignoring comprehensive assessment reports. However, confidence is slightly lower because the extreme events literature is genuinely complex with regional heterogeneity, and some specific event categories (e.g., normalized hurricane damages) do have legitimate debate. The blanket 'no increase' claim nevertheless misrepresents the overall evidence.",both,True,,
10.5539_jsd.v17n6p137,The Scientific Case Against Net Zero: Falsifying the Greenhouse Gas Hypothesis,Environmental Science,Equation / proof,errata,"The author used the base-10 logarithm (log10) instead of the natural logarithm (ln, neperian logarithm) in the IPCC radiative forcing equation, resulting in incorrect temperature change calculations.",9,,Use of the seasonal cycle in the Keeling curve and COVID-era emission reductions as evidence against long perturbation lifetimes for anthropogenic CO₂.,"Both reviewers flag this. Seasonal exchange around a rising trend tests exchange rates, not perturbation lifetime. COVID-era reductions (~7%) would produce a signal smaller than natural variability against the background trend. These arguments are physically invalid and are used to dismiss mainstream carbon-cycle understanding.",both,True,,
10.5539_jsd.v17n6p137,The Scientific Case Against Net Zero: Falsifying the Greenhouse Gas Hypothesis,Environmental Science,Equation / proof,errata,"The author used the base-10 logarithm (log10) instead of the natural logarithm (ln, neperian logarithm) in the IPCC radiative forcing equation, resulting in incorrect temperature change calculations.",10,,Confusion of correlation with causation in planetary comparison: cross-planet associations between surface pressure and temperature are treated as proof that pressure causes temperature independently of radiative properties.,"Both reviewers identify this (A explicitly, B as part of the ideal gas law finding). Pressure and temperature co-vary because massive greenhouse atmospheres are both dense and opaque to IR. The manuscript's headline physical argument depends on a causal interpretation that the data do not support.",both,True,,
2401.09543v2,Token Jumping in Planar Graphs has Linear Sized Kernels,Mathematics,Equation / proof,retract,"The proof incorrectly claims a linear kernel size in k, but the correct approach only yields a quadratic kernel, as shown in later work; the original proof thus overstates the achievable bound.",0,,"The final YES-preservation argument cites Claim 4 for a reconfiguration conclusion, but Claim 4 is a size bound and provides no reconfiguration guarantee. The proof literally states 'by Claim 4 the answer is YES' when Claim 4 does not establish any such implication. This is a direct logical disconnect at the theorem's conclusion.",This is not a typo or minor citation error—it is invocation of a nonexistent implication at the exact point where the kernel's correctness is concluded. No valid replacement argument is provided. Both reviewers agree after steelman that this is fatal.,prover_a,True,,
2401.09543v2,Token Jumping in Planar Graphs has Linear Sized Kernels,Mathematics,Equation / proof,retract,"The proof incorrectly claims a linear kernel size in k, but the correct approach only yields a quadratic kernel, as shown in later work; the original proof thus overstates the achievable bound.",1,,"Claim 5 (stated for linear forests) is applied to G[J_s ∪ J_t ∪ J_m], but the manuscript never proves this union induces a linear forest. J_s and J_t each induce linear forests and J_m is independent, but their union can have arbitrary additional edges destroying the linear forest property. The key constructive reconfiguration step therefore lacks its required precondition.","The entire correctness argument for the kernel reduction depends on being able to reconfigure within this subgraph using a lemma that requires the linear forest property. If the precondition is not met, the lemma does not apply and the equivalence proof fails. Reviewer B upgraded this to RETRACTION-WORTHY after steelman.",prover_a,True,,
2401.09543v2,Token Jumping in Planar Graphs has Linear Sized Kernels,Mathematics,Equation / proof,retract,"The proof incorrectly claims a linear kernel size in k, but the correct approach only yields a quadratic kernel, as shown in later work; the original proof thus overstates the achievable bound.",2,,"Claim 7's proof contains unjustified greedy reconfiguration steps (e.g., 'greedily move all remaining tokens to J_m'). In token jumping, each move must maintain independence of the entire current token set. The manuscript treats this as trivial when it is not—independence of the destination set does not imply legality of the moves, which depends on adjacency to all currently-occupied vertices.","Reviewer A rated RETRACTION-WORTHY; Reviewer B initially rated the broader Claim 7 as MAJOR-REVISION but upgraded after steelman. The issue is that the equivalence proof requires a valid sequence of legal token jumps, and the manuscript provides no such argument. This is the substance of the correctness proof, not a peripheral detail. However, there is a small chance the steps could be made rigorous with significant additional argument, so confidence is slightly lower.",both,True,,
2402.01549v2,Quantum advantage in zero-error function computation with side information,Computer Science,Equation / proof,errata,"The error in Claim 3 is likely due to an incorrect equation or flaw in the logical steps of the proof, which may result from the misuse of mathematical principles, incorrect assumptions, or an invalid derivation that undermines the claim's validity.",0,,"The quantum protocol requires orthogonality for confusable pairs (edges of G^(m)), but Lemma 4 and Definition 4 define orthogonal representations on the complement graph Ḡ^(m), where orthogonality is enforced on non-adjacent vertices. This categorical mismatch means Theorem 4's quantum rate formula optimizes the wrong graph parameter, and the claimed quantum advantage (R_quantum(g) < R_classical(g)) is unsupported.","Both reviewers identify this as the central error and rate it RETRACTION-WORTHY. Reviewer A considered downgrading to MAJOR-REVISION in the steelman only if the problem were a globally consistent convention swap, but acknowledged this would still require every cited inequality and product identity to be re-verified under the swapped convention—something the manuscript does not do. Reviewer B's steelman reinforced the severity. The error is not a typo: it inverts which pairs must be orthogonal, changing the feasible set, the relevant ξ-quantity, and the asymptotic rate. Because the quantum advantage demonstration is the paper's primary contribution, this is RETRACTION-WORTHY under the provided standard.",both,True,,
2402.10307v2,A New Radio to Overcome Critical Link Budgets,Computer Science,Equation / proof,retract,"The error is that the beamforming gain for N antennas is incorrectly calculated as N, when it should actually be N^2, since coherent beamforming results in the received power increasing by the square of the number of antennas.",0,,The central claim 'no loss in link budget gain compared to spatial beamforming' rests on an unfair resource comparison. The temporal combining gain (T ≈ 18.375) is compared to N=16 antenna beamforming gain without charging MA-TISK for the proportionally longer integration time or lower effective symbol rate. This is a processing-gain-versus-beamforming-gain conflation.,"Both reviewers independently identified this as the paper's most fundamental flaw. After steelman exchange, both confirmed RETRACTION-WORTHY. The comparison violates basic time-bandwidth-energy conservation: beamforming provides instantaneous power gain in one symbol period, while temporal combining spreads energy over T periods and coherently recombines. Without equal-resource normalization, the claimed equivalence is physically misleading. This is the paper's headline conclusion and it cannot be supported.",both,True,,
2402.10307v2,A New Radio to Overcome Critical Link Budgets,Computer Science,Equation / proof,retract,"The error is that the beamforming gain for N antennas is incorrectly calculated as N, when it should actually be N^2, since coherent beamforming results in the received power increasing by the square of the number of antennas.",1,,"Misapplication of the Shannon capacity formula (Eqs. 9-10) to argue that loss in data rate and loss in beamforming gain are equivalent in a fixed-bandwidth system. The low-SNR approximation R ≈ SNR/ln(2) applies only in the wideband/infinite-bandwidth regime, not a fixed 100 MHz channel.","Both reviewers identified this error. Reviewer A initially rated it MAJOR-REVISION but upgraded to RETRACTION-WORTHY during steelman, agreeing that this formula is essential to the paper's multiuser equivalence argument. In a fixed-bandwidth system, halving user rate does not halve required SNR in the linear way the paper claims. Since this argument underpins the conclusion that MA-TISK matches beamforming for multiuser scenarios, its invalidity removes support for a central claim.",both,True,,
2402.10307v2,A New Radio to Overcome Critical Link Budgets,Computer Science,Equation / proof,retract,"The error is that the beamforming gain for N antennas is incorrectly calculated as N, when it should actually be N^2, since coherent beamforming results in the received power increasing by the square of the number of antennas.",2,,"The manuscript conflates received power gain, SINR gain, processing gain, and beamforming gain, risking systematic double-counting. The 'temporal combining gain' is presented as a replacement for beamforming gain rather than being recognized as processing gain from a lower-rate signaling format.","Both reviewers converged on this after steelman exchange. Reviewer A originally flagged it as RETRACTION-WORTHY; Reviewer B acknowledged in steelman that this was 'more coherent' than their scattered observations and elevated related findings. The failure to separate energy spreading, symbol duration expansion, noise bandwidth narrowing, and coherent recombination means the apparent gain may simply reflect resource reallocation rather than genuine link-budget equivalence.",both,True,,
2402.16847v2,The Art of Staying Ahead of Deadlines: Improved Algorithms for the Minimum Tardy Processing Time,Computer Science,Equation / proof,retract,"The error is that the runtime analysis omits the contribution of the processing times within the interval [d_j - p_j, d_{j - 1}], which leads to an incomplete and therefore incorrect calculation of the total processing time.",0,,"The multi-machine extension (Section 4) claims Õ(n + d_max^m) time for constant m but provides no multidimensional data structure construction, no operation definitions, no complexity proofs. The result is asserted by analogy with the 1D case in a single paragraph.",Both reviewers independently classified this as retraction-worthy. Neither downgraded during steelman. The paper claims a distinct theorem without supplying the central algorithmic object needed to state or analyze it. No cited multidimensional dynamic string structure exists with the required properties. This is not an exposition gap — it is a completely unsupported claim that constitutes a headline contribution of the paper.,both,True,,
2403.01085v2,A Strongly Subcubic Combinatorial Algorithm for Triangle Detection with Applications,Computer Science,Equation / proof,retract,"The analysis in Case 2.1 is faulty because it incorrectly assumes that the triangle detection algorithm will always succeed under certain conditions, but there exist cases where the algorithm fails, making the proof invalid.",0,,"The central subroutine BFS⁺ is never defined: no pseudocode, no formal detection rule, no specification of what data structures are maintained or what condition triggers triangle detection. The entire correctness and runtime of Theorem 2 depend on this undefined procedure.","Both reviewers independently flag this as a critical gap. After steelman exchange, both converge on retraction-worthy severity. An algorithmic paper whose main claimed breakthrough delegates the key step to an unspecified subroutine does not establish its central result. This is not a presentation issue—without BFS⁺, the theorem is a conjecture, not a proven result. All downstream theorems inherit this failure.",both,True,,
