title,paper_category,error_category,error_location,error_severity,error_annotation,detectability
Qsyn: A Developer-Friendly Quantum Circuit Synthesis Framework for NISQ Era and Beyond,Physics,Data Inconsistency (text-text),Table 2,errata,"The values or entries in Table 2 are inconsistent or incorrect compared to reliable sources or other parts of the document, indicating a need for data verification and correction.",text
A Relationship Between Nonphysical Quasi-probabilities and Nonlocality Objectivity,Physics,Equation / proof,Equation 8,retract,"The error is that the calculation incorrectly claims different eigenvalues for β^{T}β in the right-identity case, when in fact the eigenvalues remain unchanged for both the left- and right-identity cases, invalidating the argument's main result.",text
Extraction and characterization of biocompatible hydroxyapatite (Hap) from red big eye fish bone: Potential for biomedical applications and reducing biowastes,Environmental Science,Data Inconsistency (figure-text),"Fig1, Fig2",errata,"Figures 1 and 2 are supposed to display FT-IR and XRD spectra, but instead show SEM images, indicating the figure images and their legends are mismatched and do not represent the described data.",partial
Self-assembling chitosan based injectable and expandable sponge with antimicrobial property for hemostasis and wound healing,Chemistry,Figure duplication,Fig 6,errata,"The problem is that there is significant image overlap between a treatment and a control panel in Figure 6J, indicating duplicated or reused images where different experimental conditions were supposed to be shown.",figure
Shafarevich-Tate groups of holomorphic Lagrangian fibrations II,Mathematics,Equation / proof,Kahler Twists,errata,"There is likely a mistake in the formulation or derivation of equations related to Kähler twists, such as an incorrect application of properties of Kähler manifolds or errors in twisting procedures within the proof.",text
ITERTL: An Iterative Framework for Fine-tuning LLMs for RTL Code Generation,Computer Science,Experiment setup,Sec 4.1,errata,"The problem is that there are inaccuracies or mistakes regarding the description or implementation of [REDACTED-NAME] in the experimental setup, which could lead to misunderstandings or misrepresentation of how the experiment was conducted.",text
From Tripods to Bipods: Reducing the Queue Number of Planar Graphs Costs Just One Leg,Mathematics,Equation / proof,"Theorems 1.2, 1.3",retract,"The error is that the decomposition technique claimed as original in Theorems 1.2 and 1.3 was previously established by other authors, and furthermore, Lemma 4.2 is incorrect, rendering the current proofs insufficient and requiring new technical details.",text
From Tripods to Bipods: Reducing the Queue Number of Planar Graphs Costs Just One Leg,Mathematics,Equation / proof,Lemma 4.2,retract,"Lemma 4.2 is incorrect, so the proof relying on it is invalid and requires new technical details to correct the decomposition argument.",text
Retraction Note to: Molecular characterization of the 14‑3‑3 gene family in rice and its expression studies under abiotic stress,Biology,Figure duplication,"Fig 14, Fig 15",errata,"The error is that multiple blots within Figure 14 and Figure 15 appear to be duplicated, indicating possible data manipulation or misrepresentation, which undermines the reliability of the results and conclusions.",figure
Large Bricks and Join-irreducible torsionfree classes,Mathematics,Equation / proof,Proposition 3.9,retract,"There is a logical gap in the proof of Proposition 3.9, meaning that a necessary step or justification is missing, so the conclusion does not properly follow from the premises given.",text
DNA methylation remodeling and the functional implication during male gametogenesis in rice,Biology,Figure duplication,Fig 2B,errata,"The error is image duplication in Figure 2B, where the same image was mistakenly used for both the cmt3b mutant and wild-type conditions due to a mix-up during image organization.",figure
Hybrid films loaded with 5-fluorouracil and Reglan for synergistic treatment of colon cancer via asynchronous dual-drug delivery,Engineering,Figure duplication,Fig 6,errata,"Figure 6 contains duplicated XRD patterns, meaning the same data appears multiple times, which suggests either an error in figure preparation or potential data manipulation.",figure
Quantum advantage in zero-error function computation with side information,Computer Science,Equation / proof,Claim 3,errata,"The error in Claim 3 is likely due to an incorrect equation or flaw in the logical steps of the proof, which may result from the misuse of mathematical principles, incorrect assumptions, or an invalid derivation that undermines the claim's validity.",text
Impacts of Low Energy Argon Beam on Enhancing the Surface Wettability and Electrical Performance of CA/PANI Films,Materials Science,Figure duplication,"Fig. 5C,5D",errata,"The error is that Figures 5C and 5D, which are described as different samples in the figure caption, actually show the same sample area at different magnifications, and there are inconsistencies between the published scale bars and the actual magnification, indicating misleading representation of the data.",figure
The first superconducting final focus quadrupole prototype of the FCC-ee study,Physics,Data Inconsistency (figure-text),Table 2,errata,"The data values presented in Table 2 do not match the corresponding figures or calculations elsewhere in the document, indicating inconsistencies that compromise the accuracy and reliability of the information.",partial
CONDA: Condensed Deep Association Learning for Co-Salient Object Detection,Computer Science,Data inconsistency,Sec 4.1,errata,"The problem is that Section 4.1 reports an incorrect number of images for a dataset, leading to data inconsistency that needs correction.",text
A Strongly Subcubic Combinatorial Algorithm for Triangle Detection with Applications,Computer Science,Equation / proof,Overall in paper,retract,"The triangle detection algorithm is incorrect because the reasoning or analysis provided for Case 2.1 in Subsection 2.1 is flawed, which can lead to incorrect detection results in certain cases.",text
A Strongly Subcubic Combinatorial Algorithm for Triangle Detection with Applications,Computer Science,Equation / proof,Sec 2,retract,"The analysis in Case 2.1 is faulty because it incorrectly assumes that the triangle detection algorithm will always succeed under certain conditions, but there exist cases where the algorithm fails, making the proof invalid.",text
Efficient Human Pose Estimation: Leveraging Advanced Techniques with MediaPipe,Computer Science,Statistical reporting,Sec 3.3,retract,"The error is that the angle was calculated incorrectly in Section 3.3, leading to potential inaccuracies in the reported statistical results that rely on this value.",text
How to surpass no-go limits in Gaussian quantum error correction and entangled Gaussian state distillation?,Physics,Equation / proof,"Lemma 3,4",retract,"The error is that the statements or proofs of Lemma 3 and Lemma 4 contain inaccuracies, likely due to incorrect assumptions, logical gaps, or invalid mathematical steps, which compromise the validity of their conclusions.",text
Hepatoprotective and neuroprotective effects of quinacrine against bile duct ligation-induced hepatic encephalopathy in rats: Role of bone morphogenetic proteins signaling,Biology,Figure duplication,Fig 5,errata,"The error is that two western blot sections in Figure 5 are identical in both their bands and background, even though they are supposed to represent different samples/experiments, indicating a duplication or misassembly of figure panels.",figure
The effect of Relativistic Aberration on Cosmological Distances,Physics,Equation / proof,Computations,retract,"The error is that the computations incorrectly assume galaxies are in a different reference frame than the observer, leading to fundamentally flawed equations and invalid results throughout the paper.",text
A Simple Ricci Flow Proof of the Uniformization Theorem,Mathematics,Equation / proof,Theorem 3.3,retract,"The proof incorrectly assumes that the value of A at t=0 and t=T are identical, but without a justification or condition ensuring this, the main inequality in the argument does not necessarily hold.",text
Advanced targeted curcumin delivery using biodegradable hierarchical microspheres with calcium pectinate matrix and hyaluronic acid moieties for enhancing colitis amelioration,Chemistry,Figure duplication,Fig 4B,errata,"The images for Occludin and Claudin-1 in the LPS and HA-NLC groups in Figure 4B appear to be misplaced, indicating possible figure duplication or mislabeling of results.",figure
Algebraic description of complex conjugation on cohomology of a smooth projective hypersurface,Mathematics,Equation / proof,Theorem 2.3,retract,"The statement and proof of Theorem 2.3 is not correct. What was described in the paper is an order 2 operation which swaps the Hodge components, which gives the complex conjugation only when the Hodge component has dimensions 1. But our description does not give the complex conjugation in the general case where the Hodge component has a bigger dimension",text
On the Existence of an Extremal Function for the Delsarte Extremal Problem,Mathematics,Equation / proof,Theorem 7,errata,"The error is that the uniform convergence on compact subsets cannot be concluded without first establishing that the limit function f is continuous and satisfies f(0)=1, which has not been shown at this point in the proof.",text
‚ÄúSol-gel auto combustion synthesis of Al3+-Gd3+ ions co-doped cobalt ferrite nanoparticles for nanoelectronics applications‚Äù,Materials Science,Figure duplication,Fig 1,errata,"Some panels in Figure 1 are duplicates, showing identical spectra, due to a mistake during figure assembly and labeling, resulting in mislabeled or repeated data that does not accurately represent the intended experimental results.",figure
Vitamin C facilitates direct cardiac reprogramming by inhibiting reactive oxygen species,Medicine,Figure duplication,Fig. 2,errata,"The error is that identical images were mistakenly used in Figure 2B to represent two different experimental control conditions, indicating a duplication of figures during figure preparation.",figure
Explicit expression and fast algorithms for the inverse of some matrices arising from implicit time integration,Mathematics,Equation / proof,Theorem 2.2,retract,"There is a mistake in the logical steps or calculations in the proof of Theorem 2.2, resulting in formula (2.10) being incorrect; as a result, any numerical results or conclusions that depend on this formula may also be invalid or misleading.",text
Intratumoral delivery of Mitomycin C using bio-responsive Gellan Gum Nanogel: In-vitro evaluation and enhanced chemotherapeutic efficacy,Biology,Figure duplication,Fig 5A,errata,"Figure 5A contains panels that were inadvertently duplicated, meaning the same image was used more than once, which is an error in figure assembly and misrepresents the experimental data.",figure
Chlorogenic acid-assisted dopamine‚Äësodium alginate composite nanofiber membranes for promoting wound healing,Chemistry,Figure duplication,Fig 9c,errata,"The error is that in Figure 9c, the TGF-β1 image for the PVA group was duplicated from the control group, resulting in the same image being used for both groups due to an error during figure assembly.",figure
Screening High-Performance Hybrid Halides Scintillators: A Comprehensive Analysis and Prediction Model,Chemistry,Data Inconsistency (figure-text),Fig 7,errata,"The error in Fig 7 is that the figure caption is incorrect—it is the same as the caption for Fig 6, leading to confusion and inconsistency between the figure content and its description.",partial
Multiplicative Chow-Künneth decomposition and homology splitting of configuration spaces,Mathematics,Equation / proof,1.10. Corollary,retract,Corollary 1.10 contradicts known statements in the literature,text
A novel ENTH domain-containing protein TgTEPSIN is essential for structural maintenance of the plant-like vacuolar compartment and bradyzoite differentiation in toxoplasma gondii,Biology,Figure duplication,Fig 4B,errata,"The error is that multiple panels within Figure 4B are duplicated or overlap with each other, indicating that the same or very similar images were used to represent different experimental conditions, which is a misuse of figure data.",figure
"CR functions at CR singularities: approximation, extension, and hulls",Mathematics,Equation / proof,Theorem 4.2,errata,"There is a logical gap in the proof of Theorem 4.2, meaning that one or more steps necessary to arrive at the conclusion are missing or insufficiently justified, making the argument incomplete.",text
MSP-MVS: Multi-granularity Segmentation Prior Guided Multi-View Stereo,Computer Science,Experiment setup,Overview,errata,"The problem is that there is a significant flaw in how the experiment was designed in the Multi-granularity section, which affects the reliability of the resulting data analysis and the validity of the study’s conclusions.",text
Chitosan nonwoven fabric composited calcium alginate and adenosine diphosphate as a hemostatic bandage for acute bleeding wounds,Biology,Figure duplication,"Fig 2G,E",errata,"The error is that the same cell images were used in two different experimental conditions in Figures 2G and 2E, indicating a figure duplication likely caused by an error during figure assembly.",figure
Multiplication formula for Hernandez and Leclerc's quivers with potentials,Mathematics,Equation / proof,Section 2,retract,"The error is that Jacobian algebras do not generally have the Ext-symmetry required for the GLS multiplication formula, and generalized preprojective algebras are not always Jacobian because the nilpotency relations for loops are not derived from the potential.",text
On the principal eigenvalue for compound Poisson processes,Mathematics,Equation / proof,Theorem 2.1,retract,"The main flaw is that the proof does not account for a key exception or missing condition, which leads to Theorem 2.1 being stated too generally and thus not holding in all claimed cases.",text
Going Beyond Word Matching: Syntax Improves In-context Example Selection for Machine Translation,Computer Science,Statistical reporting,Sec 5,retract,"The problem is that Section 5 compares baselines that are not directly comparable, which could lead to misleading or confusing interpretations of the results.",text
HDRTransDC: High Dynamic Range Image Reconstruction with Transformer Deformation Convolution,Computer Science,Statistical reporting,"Sec 4.2, 4.3",retract,"The error is related to potentially incorrect metric calculations in Sections 4.2 and 4.3, meaning the statistical results reported in these sections may be inaccurate or misleading and require further validation.",text
The Art of Staying Ahead of Deadlines: Improved Algorithms for the Minimum Tardy Processing Time,Computer Science,Equation / proof,Sec 3,retract,"The error is that the runtime analysis omits the contribution of the processing times within the interval [d_j - p_j, d_{j - 1}], which leads to an incomplete and therefore incorrect calculation of the total processing time.",text
The interplay between additive and symmetric large sets and their combinatorial applications,Mathematics,Equation / proof,Page 4,errata,"The definition or expression of the operation \( p \odot_t q \) is incorrect, which undermines the validity of the subsequent results that rely on this operation.",text
A form of refined Roth's theorem and its application to the $abc$-conjecture,Mathematics,Equation / proof,Theorem 1.6,retract,"Theorem 1.6 contains an error because one or more of the equations or logical steps used in the proof are incorrect, possibly due to an invalid assumption or a misapplied result that invalidates the theorem's conclusion.",text
Token Jumping in Planar Graphs has Linear Sized Kernels,Mathematics,Equation / proof,Claim 7,retract,"The proof incorrectly claims a linear kernel size in k, but the correct approach only yields a quadratic kernel, as shown in later work; the original proof thus overstates the achievable bound.",text
Macrophage ILF3 promotes abdominal aortic aneurysm by inducing inflammatory imbalance in male mice,Multidisciplinary,Figure duplication,Fig. 4,errata,"A micrograph image was accidentally duplicated and rotated to appear as two different experimental conditions in Figure 4, which misrepresents the data and is a figure duplication error.",figure
Multivalent supramolecular fluorescent probes for accurate disease imaging,Multidisciplinary,Data Inconsistency (figure-figure),Fig. 2,errata,"In Figures 2J and 2K, the x-axis intervals are visually equal, but the numerical increments between the tick marks are inconsistent, particularly for the last two values, which may mislead readers about the timing or progression of the data presented.",figure
Expression of CGRP in the Trigeminal Ganglion and Its Effect on the Polarization of Macrophages in Rats with Temporomandibular Arthritis,Biology,Figure duplication,Fig 5,errata,"Figure 5 contains duplicated images that are also found in Figure 6, specifically due to the inadvertent use of enlarged and cropped versions of the same images across both figures, resulting in partial duplication.",figure
Agar-gelatin Maillard conjugates used for Pickering emulsion stabilization,Chemistry,Figure duplication,Fig 5E,errata,"The error is that the same image was mistakenly used twice in Figure 5E, resulting in a duplicated panel, which was an oversight during figure preparation and not related to data manipulation.",figure
The synergistic roles of MsRCI2B and MsRCI2E in the regulation of ion balance and ROS homeostasis in alfalfa under salt stress,Biology,Figure duplication,Fig5A,errata,"The error in the 3rd row of Fig 5A is due to the incorrect placement of an image during figure assembly, resulting in an overlap or misrepresentation of the intended control, although the proper control was performed and shown elsewhere in the manuscript.",figure
Farnesoid X receptor activation protects against renal fibrosis via modulation of β-catenin signaling,Medicine,Figure duplication,Fig 6,errata,"Figure 6 contains a duplicated image where the same image was mistakenly copied for both the CTL and HFD+CDCA groups, an error acknowledged by the authors as a result of negligence during figure assembly.",figure
Farnesoid X receptor activation protects against renal fibrosis via modulation of β-catenin signaling,Medicine,Data Inconsistency (text-text),Abstract & Method 2.6,errata,"There is a discrepancy between the Abstract and Method 2.6 regarding the duration of high-fat diet treatment in mice: the Abstract states 20 weeks, while the Methods section initially stated 12 weeks, causing confusion about the experimental timeline and raising concerns about data consistency throughout the paper.",text
Assessment of clean production level in phosphate mining enterprises: Based on the fusion group decision weight and limited interval cloud model,Environmental Science,Data inconsistency,Eq. 1,errata,"Equation 1 is inconsistent with the described data constraints and real-world application, particularly because the transformation or distribution applied (e.g., Gaussian for nonnegative indicators) does not make sense for left-constrained (nonnegative) values, leading to a misrepresentation or incorrect modeling of the data.",text
Superacid In Situ Protected Synthesis of Covalent Organic Frameworks,Chemistry,Data Inconsistency (figure-text),Fig 4c,errata,"There are inconsistencies between the figure numbering and COF nomenclature in Figure 4c and the related Supporting Information, resulting in mismatched figure references and inconsistent or incorrect chemical names, which can cause confusion and reduce the clarity and accuracy of the article.",partial
Superacid In Situ Protected Synthesis of Covalent Organic Frameworks,Chemistry,Data Inconsistency (figure-text),"Figure 4c, Tables S6, S7, S8",errata,"There are multiple naming errors and inconsistencies in Figure 4c and Tables S6, S7, and S8, including incorrect or inconsistent COF names such as ""TAPT-TPB-COF"" instead of ""TAPT-TFB-COF"" and inconsistent use of the name ""TAPB-DMTA-COF"" vs. ""TPB-DMTP-COF,"" leading to confusion and potential misidentification of compounds.",partial
Superacid In Situ Protected Synthesis of Covalent Organic Frameworks,Chemistry,Data Inconsistency (figure-figure),"Figures 6K, 6L, 7A, 7G, and 7I. ",errata,"The error is that the COF names given in the captions of Figures 6K, 6L, 7A, 7G, and 7I do not match the names of the COFs actually shown in the corresponding figure panels, leading to confusion and inconsistencies between the text and the figures.",figure
Impact of extraction methods on the properties of Carica papaya pseudostem fibers from Cameroon used as reinforcement in biocomposites,Multidisciplinary,Figure duplication,Fig. 3,errata,"The error is that images intended to represent fibers treated with different NaOH concentrations (specifically Figure 3C and 3D) are duplicated, with the same image being used to depict both conditions, which misrepresents the experimental results.",figure
Glucagon-like peptide 1 receptor is a T cell-negative costimulatory molecule,Medicine,Figure duplication,Fig S7,errata,"The error is that two panels in Figure S7 (CD3 and GLP-1R) appear to show overlapping or duplicated images, indicating they are not distinct experiments and suggesting an assembly or upload mistake in the figure.",figure
Long noncoding RNA Malat1 protects against osteoporosis and bone metastasis,Multidisciplinary,Figure duplication,Fig. 4,errata,"The error is that a micro-CT image of bone tissue from a male mouse was mistakenly duplicated and labeled as a female sample in Fig. 2b, misrepresenting the data for female mice in the figure.",figure
Fields of definition of dynamical systems on $\mathbb{P}^{1}$. Improvements on a result of Silverman,Mathematics,Equation / proof,Page 5,retract,"The error is that the proof incorrectly claims that having equal ramification degrees implies equal orders of vanishing at 0 and ∞, but equal ramification degrees alone do not guarantee equal orders of vanishing, so the conclusion does not follow.",text
Multifunctional polydopamine/hemin-cyclodextrin reinforced chitosan nanocomposite hydrogel: A synergistic platform for wound healing,Biology,Figure duplication,Fig 5,errata,"The error is that Figure 5 contains duplicated images that are supposed to represent different experimental conditions, which was caused by an inadvertent mistake during typesetting.",figure
Green synthesis and characterization of CuO/PANI nanocomposite for efficient Pb (II) adsorption from contaminated water,Multidisciplinary,Figure duplication,Fig. 1,errata,"The error is that Figures 1c and 1d show not only similar but completely identical PXRD patterns, including the random noise, which is not possible for separate experimental measurements and indicates inappropriate duplication of the data.",figure
Multi-Antenna Towards Inband Shift Keying,Computer Science,Equation / proof,Unknown,errata,"The error is that the paper underestimates the beamforming gain for transmit beamforming with N antennas, stating it as N when the correct value is N^2.",text
Characteristic ideal of the fine Selmer group and results on $Œº$-invariance under isogeny in the function field case,Mathematics,Equation / proof,Proposition 4.6,retract,"The proof of Proposition 4.6 contains a mistake that affects the validity of subsequent results (including Theorem 4.9), likely due to a faulty argument or incorrect application of an equation, as acknowledged by a correction in a later preprint.",text
Characteristic ideal of the fine Selmer group and results on $Œº$-invariance under isogeny in the function field case,Mathematics,Equation / proof,Theorem 5.1,retract,"The error in the proof of Theorem 5.1 involves a flaw or gap in the logical reasoning or calculations that invalidates the original proof, and a corrected version has been provided in arXiv:2407.21431.",text
The impact understanding of exosome therapy in COVID-19 and preparations for the future approaches in dealing with infectious diseases and inflammation,Multidisciplinary,Data Inconsistency (figure-text),Section. Exosome confirmation methods,errata,"The error is that the figure shows a micrograph from a TESCAN MIRA 3 device, whereas the text in the Materials and Methods section incorrectly describes the instrument used as a Hitachi S-4160 and Zeiss EM10C, resulting in a discrepancy between the described methods and the actual data presented.",partial
In-situ acid catalysis strategy to achieve rapid ambient pressure drying preparation of aerogels,Materials Science,Data inconsistency,Fig3c,errata,"The XRD curve for [H+]=3.5 in Figure 3c was incorrectly duplicated from the [H+]=3.0 data due to a copy-paste error during figure preparation, resulting in a data inconsistency for that panel.",text
Author Correction: Selective manipulation of the inositol metabolic pathway for induction of salt-tolerance in indica rice variety,Multidisciplinary,Data Inconsistency (figure-text),Fig. 3,errata,"The error is that the figures and related text incorrectly refer to a 10-day salination stress period, when the actual experiments and data presented are based on a 7-day stress period, leading to a mismatch between the reported experimental timeline and what was actually performed.",partial
Author Correction: Selective manipulation of the inositol metabolic pathway for induction of salt-tolerance in indica rice variety,Multidisciplinary,Data Inconsistency (figure-text),Fig. 4,errata,"The figure and its legend incorrectly state that the salination stress period was 10 days, when in fact the data and experiments were conducted over a 7-day stress period, leading to inconsistency between the text and the figure.",partial
"Assessing the effect of therapeutic level of oxytetracycline dihydrate on pharmacokinetics and biosafety in Oncorhynchus mykiss (Walbaum, 1792)",Multidisciplinary,Statistical reporting,Table. 1,errata,"The error is that negative values are reported for pharmacokinetic parameters such as AUC, elimination rates, and LOQ in Table 1, which are nonsensical since these parameters should always be positive based on their definitions in pharmacokinetics and analytical chemistry.",text
"A green, versatile, and facile strategy for anti-biofouling surface with ultra-high graft density polyethylene glycol",Biology,Figure duplication,Fig 6A,errata,"There is a figure duplication error in Fig 6A where images that should represent different bacterial species or treatment conditions instead share overlapping or identical areas, due to improper handling and copying of image files during figure preparation.",figure
