k_i,TP_i,FP_i,FN_i,precision_i,recall_i,perfect_i,n_predictions,paper_id,condition,title,paper_category,verdict,n_annotations_text,n_annotations_total,rw_count
1,0,17,1,0.0,0.0,0,17,10.1038_s41598-024-73921-8,B3,"Assessing the effect of therapeutic level of oxytetracycline dihydrate on pharmacokinetics and biosafety in Oncorhynchus mykiss (Walbaum, 1792)",Multidisciplinary,flagged,1,1,5.0
1,0,19,1,0.0,0.0,0,19,10.1038_s41598-024-73921-8,GD,"Assessing the effect of therapeutic level of oxytetracycline dihydrate on pharmacokinetics and biosafety in Oncorhynchus mykiss (Walbaum, 1792)",Multidisciplinary,flagged,1,1,5.0
2,0,34,2,0.0,0.0,0,34,10.1038_s41598-024-79452-6,B1,Author Correction: Selective manipulation of the inositol metabolic pathway for induction of salt-tolerance in indica rice variety,Multidisciplinary,flagged,2,2,
2,0,17,2,0.0,0.0,0,17,10.1038_s41598-024-79452-6,B2,Author Correction: Selective manipulation of the inositol metabolic pathway for induction of salt-tolerance in indica rice variety,Multidisciplinary,flagged,2,2,0.0
2,0,16,2,0.0,0.0,0,16,10.1038_s41598-024-79452-6,B3,Author Correction: Selective manipulation of the inositol metabolic pathway for induction of salt-tolerance in indica rice variety,Multidisciplinary,flagged,2,2,0.0
2,0,19,2,0.0,0.0,0,19,10.1038_s41598-024-79452-6,GD,Author Correction: Selective manipulation of the inositol metabolic pathway for induction of salt-tolerance in indica rice variety,Multidisciplinary,flagged,2,2,0.0
1,0,43,1,0.0,0.0,0,43,10.1038_s41598-025-85894-3,B1,Photocatalytic removal of textile wastewater-originated methylene blue and malachite green dyes using spent black tea extract-coated silver nanoparticles,Multidisciplinary,flagged,1,1,
1,0,19,1,0.0,0.0,0,19,10.1038_s41598-025-85894-3,B2,Photocatalytic removal of textile wastewater-originated methylene blue and malachite green dyes using spent black tea extract-coated silver nanoparticles,Multidisciplinary,flagged,1,1,3.0
1,0,15,1,0.0,0.0,0,15,10.1038_s41598-025-85894-3,B3,Photocatalytic removal of textile wastewater-originated methylene blue and malachite green dyes using spent black tea extract-coated silver nanoparticles,Multidisciplinary,flagged,1,1,4.0
1,0,18,1,0.0,0.0,0,18,10.1038_s41598-025-85894-3,GD,Photocatalytic removal of textile wastewater-originated methylene blue and malachite green dyes using spent black tea extract-coated silver nanoparticles,Multidisciplinary,flagged,1,1,2.0
1,1,33,0,0.029411764705882353,1.0,0,34,10.1038_s41598-025-91235-1,B1,"Unveiling the antiviral inhibitory activity of ebselen and ebsulfur derivatives on SARS-CoV-2 using machine learning-based QSAR, LB-PaCS-MD, and experimental assay",Multidisciplinary,flagged,1,1,
1,1,18,0,0.05263157894736842,1.0,0,19,10.1038_s41598-025-91235-1,B2,"Unveiling the antiviral inhibitory activity of ebselen and ebsulfur derivatives on SARS-CoV-2 using machine learning-based QSAR, LB-PaCS-MD, and experimental assay",Multidisciplinary,flagged,1,1,1.0
1,1,13,0,0.07142857142857142,1.0,0,14,10.1038_s41598-025-91235-1,B3,"Unveiling the antiviral inhibitory activity of ebselen and ebsulfur derivatives on SARS-CoV-2 using machine learning-based QSAR, LB-PaCS-MD, and experimental assay",Multidisciplinary,flagged,1,1,1.0
1,1,14,0,0.06666666666666667,1.0,0,15,10.1038_s41598-025-91235-1,GD,"Unveiling the antiviral inhibitory activity of ebselen and ebsulfur derivatives on SARS-CoV-2 using machine learning-based QSAR, LB-PaCS-MD, and experimental assay",Multidisciplinary,flagged,1,1,1.0
1,0,31,1,0.0,0.0,0,31,10.1186_s12964-024-01868-4,B1,Illuminating the dark kinome: utilizing multiplex peptide activity arrays to functionally annotate understudied kinases,Biology,flagged,1,1,
1,0,16,1,0.0,0.0,0,16,10.1186_s12964-024-01868-4,B2,Illuminating the dark kinome: utilizing multiplex peptide activity arrays to functionally annotate understudied kinases,Biology,flagged,1,1,2.0
1,0,12,1,0.0,0.0,0,12,10.1186_s12964-024-01868-4,B3,Illuminating the dark kinome: utilizing multiplex peptide activity arrays to functionally annotate understudied kinases,Biology,flagged,1,1,1.0
1,0,13,1,0.0,0.0,0,13,10.1186_s12964-024-01868-4,GD,Illuminating the dark kinome: utilizing multiplex peptide activity arrays to functionally annotate understudied kinases,Biology,flagged,1,1,2.0
1,0,30,1,0.0,0.0,0,30,10.34172_bi.2023.30064,B1,Unveiling the biological effects of radio-frequency and extremely-low frequency electromagnetic fields on the central nervous system performance,Medicine,flagged,1,1,
1,0,22,1,0.0,0.0,0,22,10.34172_bi.2023.30064,B2,Unveiling the biological effects of radio-frequency and extremely-low frequency electromagnetic fields on the central nervous system performance,Medicine,flagged,1,1,1.0
1,0,13,1,0.0,0.0,0,13,10.34172_bi.2023.30064,B3,Unveiling the biological effects of radio-frequency and extremely-low frequency electromagnetic fields on the central nervous system performance,Medicine,flagged,1,1,0.0
1,0,18,1,0.0,0.0,0,18,10.34172_bi.2023.30064,GD,Unveiling the biological effects of radio-frequency and extremely-low frequency electromagnetic fields on the central nervous system performance,Medicine,flagged,1,1,0.0
1,0,32,1,0.0,0.0,0,32,10.5539_jsd.v17n6p137,B1,The Scientific Case Against Net Zero: Falsifying the Greenhouse Gas Hypothesis,Environmental Science,flagged,1,1,
1,0,18,1,0.0,0.0,0,18,10.5539_jsd.v17n6p137,B2,The Scientific Case Against Net Zero: Falsifying the Greenhouse Gas Hypothesis,Environmental Science,flagged,1,1,10.0
1,0,23,1,0.0,0.0,0,23,10.5539_jsd.v17n6p137,B3,The Scientific Case Against Net Zero: Falsifying the Greenhouse Gas Hypothesis,Environmental Science,flagged,1,1,9.0
1,0,22,1,0.0,0.0,0,22,10.5539_jsd.v17n6p137,GD,The Scientific Case Against Net Zero: Falsifying the Greenhouse Gas Hypothesis,Environmental Science,flagged,1,1,11.0
1,0,19,1,0.0,0.0,0,19,2401.06455,B1,Multiplicative Chow-Künneth decomposition and homology splitting of configuration spaces,Mathematics,not_flagged,1,1,
1,0,7,1,0.0,0.0,0,7,2401.06455,B2,Multiplicative Chow-Künneth decomposition and homology splitting of configuration spaces,Mathematics,flagged,1,1,1.0
1,0,10,1,0.0,0.0,0,10,2401.06455,B3,Multiplicative Chow-Künneth decomposition and homology splitting of configuration spaces,Mathematics,flagged,1,1,0.0
1,0,8,1,0.0,0.0,0,8,2401.06455,GD,Multiplicative Chow-Künneth decomposition and homology splitting of configuration spaces,Mathematics,flagged,1,1,0.0
1,0,33,1,0.0,0.0,0,33,2401.09543v2,B1,Token Jumping in Planar Graphs has Linear Sized Kernels,Mathematics,flagged,1,1,
1,0,10,1,0.0,0.0,0,10,2401.09543v2,B2,Token Jumping in Planar Graphs has Linear Sized Kernels,Mathematics,flagged,1,1,4.0
1,0,12,1,0.0,0.0,0,12,2401.09543v2,B3,Token Jumping in Planar Graphs has Linear Sized Kernels,Mathematics,flagged,1,1,3.0
1,0,11,1,0.0,0.0,0,11,2401.09543v2,GD,Token Jumping in Planar Graphs has Linear Sized Kernels,Mathematics,flagged,1,1,3.0
2,0,23,2,0.0,0.0,0,23,2401.16191v2,B1,From Tripods to Bipods: Reducing the Queue Number of Planar Graphs Costs Just One Leg,Mathematics,flagged,2,2,
2,0,12,2,0.0,0.0,0,12,2401.16191v2,B2,From Tripods to Bipods: Reducing the Queue Number of Planar Graphs Costs Just One Leg,Mathematics,flagged,2,2,4.0
2,0,18,2,0.0,0.0,0,18,2401.16191v2,B3,From Tripods to Bipods: Reducing the Queue Number of Planar Graphs Costs Just One Leg,Mathematics,flagged,2,2,2.0
2,0,13,2,0.0,0.0,0,13,2401.16191v2,GD,From Tripods to Bipods: Reducing the Queue Number of Planar Graphs Costs Just One Leg,Mathematics,flagged,2,2,0.0
1,1,22,0,0.043478260869565216,1.0,0,23,2402.01549v2,B1,Quantum advantage in zero-error function computation with side information,Computer Science,flagged,1,1,
1,0,8,1,0.0,0.0,0,8,2402.01549v2,B2,Quantum advantage in zero-error function computation with side information,Computer Science,flagged,1,1,3.0
1,0,12,1,0.0,0.0,0,12,2402.01549v2,B3,Quantum advantage in zero-error function computation with side information,Computer Science,flagged,1,1,3.0
1,0,9,1,0.0,0.0,0,9,2402.01549v2,GD,Quantum advantage in zero-error function computation with side information,Computer Science,flagged,1,1,1.0
1,0,32,1,0.0,0.0,0,32,2402.10307v2,B1,A New Radio to Overcome Critical Link Budgets,Computer Science,flagged,1,1,
1,0,15,1,0.0,0.0,0,15,2402.10307v2,B2,A New Radio to Overcome Critical Link Budgets,Computer Science,flagged,1,1,2.0
1,0,14,1,0.0,0.0,0,14,2402.10307v2,B3,A New Radio to Overcome Critical Link Budgets,Computer Science,flagged,1,1,3.0
1,0,16,1,0.0,0.0,0,16,2402.10307v2,GD,A New Radio to Overcome Critical Link Budgets,Computer Science,flagged,1,1,3.0
1,0,25,1,0.0,0.0,0,25,2402.10318v2,B1,Multi-Antenna Towards Inband Shift Keying,Computer Science,flagged,1,1,
1,0,14,1,0.0,0.0,0,14,2402.10318v2,B2,Multi-Antenna Towards Inband Shift Keying,Computer Science,flagged,1,1,3.0
1,0,14,1,0.0,0.0,0,14,2402.10318v2,B3,Multi-Antenna Towards Inband Shift Keying,Computer Science,flagged,1,1,0.0
1,0,18,1,0.0,0.0,0,18,2402.10318v2,GD,Multi-Antenna Towards Inband Shift Keying,Computer Science,flagged,1,1,0.0
1,0,22,1,0.0,0.0,0,22,2402.14546v2,B1,Algebraic description of complex conjugation on cohomology of a smooth projective hypersurface,Mathematics,flagged,1,1,
1,1,9,0,0.1,1.0,0,10,2402.14546v2,B2,Algebraic description of complex conjugation on cohomology of a smooth projective hypersurface,Mathematics,flagged,1,1,0.0
1,1,11,0,0.08333333333333333,1.0,0,12,2402.14546v2,B3,Algebraic description of complex conjugation on cohomology of a smooth projective hypersurface,Mathematics,flagged,1,1,0.0
1,1,12,0,0.07692307692307693,1.0,0,13,2402.14546v2,GD,Algebraic description of complex conjugation on cohomology of a smooth projective hypersurface,Mathematics,flagged,1,1,0.0
1,0,17,1,0.0,0.0,0,17,2402.16847v2,B1,The Art of Staying Ahead of Deadlines: Improved Algorithms for the Minimum Tardy Processing Time,Computer Science,flagged,1,1,
1,0,10,1,0.0,0.0,0,10,2402.16847v2,B2,The Art of Staying Ahead of Deadlines: Improved Algorithms for the Minimum Tardy Processing Time,Computer Science,flagged,1,1,2.0
1,0,7,1,0.0,0.0,0,7,2402.16847v2,B3,The Art of Staying Ahead of Deadlines: Improved Algorithms for the Minimum Tardy Processing Time,Computer Science,flagged,1,1,2.0
1,1,9,0,0.1,1.0,0,10,2402.16847v2,GD,The Art of Staying Ahead of Deadlines: Improved Algorithms for the Minimum Tardy Processing Time,Computer Science,flagged,1,1,1.0
2,1,20,1,0.047619047619047616,0.5,0,21,2403.01085v2,B1,A Strongly Subcubic Combinatorial Algorithm for Triangle Detection with Applications,Computer Science,flagged,2,2,
2,1,7,1,0.125,0.5,0,8,2403.01085v2,B2,A Strongly Subcubic Combinatorial Algorithm for Triangle Detection with Applications,Computer Science,flagged,2,2,1.0
2,1,8,1,0.1111111111111111,0.5,0,9,2403.01085v2,B3,A Strongly Subcubic Combinatorial Algorithm for Triangle Detection with Applications,Computer Science,flagged,2,2,4.0
2,1,11,1,0.08333333333333333,0.5,0,12,2403.01085v2,GD,A Strongly Subcubic Combinatorial Algorithm for Triangle Detection with Applications,Computer Science,flagged,2,2,3.0
1,0,29,1,0.0,0.0,0,29,2403.06831v2,B1,HDRTransDC: High Dynamic Range Image Reconstruction with Transformer Deformation Convolution,Computer Science,flagged,1,1,
1,0,12,1,0.0,0.0,0,12,2403.06831v2,B2,HDRTransDC: High Dynamic Range Image Reconstruction with Transformer Deformation Convolution,Computer Science,flagged,1,1,0.0
1,0,11,1,0.0,0.0,0,11,2403.06831v2,B3,HDRTransDC: High Dynamic Range Image Reconstruction with Transformer Deformation Convolution,Computer Science,flagged,1,1,0.0
1,0,10,1,0.0,0.0,0,10,2403.06831v2,GD,HDRTransDC: High Dynamic Range Image Reconstruction with Transformer Deformation Convolution,Computer Science,flagged,1,1,0.0
1,1,22,0,0.043478260869565216,1.0,0,23,2403.18567v2,B1,The effect of Relativistic Aberration on Cosmological Distances,Physics,flagged,1,1,
1,1,12,0,0.07692307692307693,1.0,0,13,2403.18567v2,B2,The effect of Relativistic Aberration on Cosmological Distances,Physics,flagged,1,1,5.0
1,1,9,0,0.1,1.0,0,10,2403.18567v2,B3,The effect of Relativistic Aberration on Cosmological Distances,Physics,flagged,1,1,6.0
1,1,15,0,0.0625,1.0,0,16,2403.18567v2,GD,The effect of Relativistic Aberration on Cosmological Distances,Physics,flagged,1,1,3.0
1,1,28,0,0.034482758620689655,1.0,0,29,2403.19285v2,B1,Going Beyond Word Matching: Syntax Improves In-context Example Selection for Machine Translation,Computer Science,not_flagged,1,1,
1,1,13,0,0.07142857142857142,1.0,0,14,2403.19285v2,B2,Going Beyond Word Matching: Syntax Improves In-context Example Selection for Machine Translation,Computer Science,flagged,1,1,0.0
1,1,10,0,0.09090909090909091,1.0,0,11,2403.19285v2,B3,Going Beyond Word Matching: Syntax Improves In-context Example Selection for Machine Translation,Computer Science,flagged,1,1,0.0
1,1,16,0,0.058823529411764705,1.0,0,17,2403.19285v2,GD,Going Beyond Word Matching: Syntax Improves In-context Example Selection for Machine Translation,Computer Science,flagged,1,1,0.0
1,0,18,1,0.0,0.0,0,18,2404.01980v6,B1,A Simple Ricci Flow Proof of the Uniformization Theorem,Mathematics,flagged,1,1,
1,0,0,1,0.0,0.0,0,0,2404.01980v6,B2,A Simple Ricci Flow Proof of the Uniformization Theorem,Mathematics,unknown,1,1,0.0
1,0,7,1,0.0,0.0,0,7,2404.01980v6,B3,A Simple Ricci Flow Proof of the Uniformization Theorem,Mathematics,flagged,1,1,2.0
1,0,8,1,0.0,0.0,0,8,2404.01980v6,GD,A Simple Ricci Flow Proof of the Uniformization Theorem,Mathematics,flagged,1,1,2.0
1,0,32,1,0.0,0.0,0,32,2404.04502v2,B1,The interplay between additive and symmetric large sets and their combinatorial applications,Mathematics,flagged,1,1,
1,0,17,1,0.0,0.0,0,17,2404.04502v2,B2,The interplay between additive and symmetric large sets and their combinatorial applications,Mathematics,flagged,1,1,6.0
1,0,15,1,0.0,0.0,0,15,2404.04502v2,B3,The interplay between additive and symmetric large sets and their combinatorial applications,Mathematics,flagged,1,1,4.0
1,0,17,1,0.0,0.0,0,17,2404.04502v2,GD,The interplay between additive and symmetric large sets and their combinatorial applications,Mathematics,flagged,1,1,2.0
1,0,28,1,0.0,0.0,0,28,2404.18586v2,B1,How to surpass no-go limits in Gaussian quantum error correction and entangled Gaussian state distillation?,Physics,flagged,1,1,
1,1,12,0,0.07692307692307693,1.0,0,13,2404.18586v2,B2,How to surpass no-go limits in Gaussian quantum error correction and entangled Gaussian state distillation?,Physics,flagged,1,1,4.0
1,1,11,0,0.08333333333333333,1.0,0,12,2404.18586v2,B3,How to surpass no-go limits in Gaussian quantum error correction and entangled Gaussian state distillation?,Physics,flagged,1,1,0.0
1,1,12,0,0.07692307692307693,1.0,0,13,2404.18586v2,GD,How to surpass no-go limits in Gaussian quantum error correction and entangled Gaussian state distillation?,Physics,flagged,1,1,1.0
1,0,17,1,0.0,0.0,0,17,2405.01133v3,B1,A missing theorem on dual spaces,Mathematics,not_flagged,1,1,
1,0,8,1,0.0,0.0,0,8,2405.01133v3,B2,A missing theorem on dual spaces,Mathematics,flagged,1,1,2.0
1,1,9,0,0.1,1.0,0,10,2405.01133v3,B3,A missing theorem on dual spaces,Mathematics,flagged,1,1,0.0
1,0,9,1,0.0,0.0,0,9,2405.01133v3,GD,A missing theorem on dual spaces,Mathematics,flagged,1,1,0.0
1,0,24,1,0.0,0.0,0,24,2405.03612v2,B1,Fields of definition of dynamical systems on $\mathbb{P}^{1}$. Improvements on a result of Silverman,Mathematics,flagged,1,1,
1,0,12,1,0.0,0.0,0,12,2405.03612v2,B2,Fields of definition of dynamical systems on $\mathbb{P}^{1}$. Improvements on a result of Silverman,Mathematics,flagged,1,1,0.0
1,1,7,0,0.125,1.0,0,8,2405.03612v2,B3,Fields of definition of dynamical systems on $\mathbb{P}^{1}$. Improvements on a result of Silverman,Mathematics,flagged,1,1,0.0
1,0,13,1,0.0,0.0,0,13,2405.03612v2,GD,Fields of definition of dynamical systems on $\mathbb{P}^{1}$. Improvements on a result of Silverman,Mathematics,flagged,1,1,0.0
1,1,25,0,0.038461538461538464,1.0,0,26,2405.05635v2,B1,Large Bricks and Join-irreducible torsionfree classes,Mathematics,flagged,1,1,
1,1,9,0,0.1,1.0,0,10,2405.05635v2,B2,Large Bricks and Join-irreducible torsionfree classes,Mathematics,flagged,1,1,2.0
1,1,9,0,0.1,1.0,0,10,2405.05635v2,B3,Large Bricks and Join-irreducible torsionfree classes,Mathematics,flagged,1,1,2.0
1,1,9,0,0.1,1.0,0,10,2405.05635v2,GD,Large Bricks and Join-irreducible torsionfree classes,Mathematics,flagged,1,1,2.0
1,0,18,1,0.0,0.0,0,18,2405.07197v2,B1,Qsyn: A Developer-Friendly Quantum Circuit Synthesis Framework for NISQ Era and Beyond,Physics,flagged,1,1,
1,0,10,1,0.0,0.0,0,10,2405.07197v2,B2,Qsyn: A Developer-Friendly Quantum Circuit Synthesis Framework for NISQ Era and Beyond,Physics,flagged,1,1,0.0
1,0,8,1,0.0,0.0,0,8,2405.07197v2,B3,Qsyn: A Developer-Friendly Quantum Circuit Synthesis Framework for NISQ Era and Beyond,Physics,flagged,1,1,0.0
1,0,11,1,0.0,0.0,0,11,2405.07197v2,GD,Qsyn: A Developer-Friendly Quantum Circuit Synthesis Framework for NISQ Era and Beyond,Physics,flagged,1,1,0.0
1,0,19,1,0.0,0.0,0,19,2405.11232v2,B1,Multiplication formula for Hernandez and Leclerc's quivers with potentials,Mathematics,flagged,1,1,
1,1,10,0,0.09090909090909091,1.0,0,11,2405.11232v2,B2,Multiplication formula for Hernandez and Leclerc's quivers with potentials,Mathematics,flagged,1,1,6.0
1,0,12,1,0.0,0.0,0,12,2405.11232v2,B3,Multiplication formula for Hernandez and Leclerc's quivers with potentials,Mathematics,flagged,1,1,3.0
1,1,10,0,0.09090909090909091,1.0,0,11,2405.11232v2,GD,Multiplication formula for Hernandez and Leclerc's quivers with potentials,Mathematics,flagged,1,1,3.0
1,0,25,1,0.0,0.0,0,25,2405.20105v2,B1,The first superconducting final focus quadrupole prototype of the FCC-ee study,Physics,flagged,1,1,
1,0,10,1,0.0,0.0,0,10,2405.20105v2,B2,The first superconducting final focus quadrupole prototype of the FCC-ee study,Physics,flagged,1,1,0.0
1,0,8,1,0.0,0.0,0,8,2405.20105v2,B3,The first superconducting final focus quadrupole prototype of the FCC-ee study,Physics,flagged,1,1,0.0
1,0,12,1,0.0,0.0,0,12,2405.20105v2,GD,The first superconducting final focus quadrupole prototype of the FCC-ee study,Physics,flagged,1,1,0.0
1,1,26,0,0.037037037037037035,1.0,0,27,2405.20571v2,B1,On the principal eigenvalue for compound Poisson processes,Mathematics,flagged,1,1,
1,1,13,0,0.07142857142857142,1.0,0,14,2405.20571v2,B2,On the principal eigenvalue for compound Poisson processes,Mathematics,flagged,1,1,3.0
1,0,11,1,0.0,0.0,0,11,2405.20571v2,B3,On the principal eigenvalue for compound Poisson processes,Mathematics,flagged,1,1,4.0
1,1,15,0,0.0625,1.0,0,16,2405.20571v2,GD,On the principal eigenvalue for compound Poisson processes,Mathematics,flagged,1,1,3.0
1,0,19,1,0.0,0.0,0,19,2406.01892v2,B1,On the triviality of the unramified Iwasawa modules of the maximal multiple $\mathbb{Z}_p$-extensions,Mathematics,not_flagged,1,1,
1,0,9,1,0.0,0.0,0,9,2406.01892v2,B2,On the triviality of the unramified Iwasawa modules of the maximal multiple $\mathbb{Z}_p$-extensions,Mathematics,flagged,1,1,0.0
1,0,10,1,0.0,0.0,0,10,2406.01892v2,B3,On the triviality of the unramified Iwasawa modules of the maximal multiple $\mathbb{Z}_p$-extensions,Mathematics,flagged,1,1,0.0
1,0,10,1,0.0,0.0,0,10,2406.01892v2,GD,On the triviality of the unramified Iwasawa modules of the maximal multiple $\mathbb{Z}_p$-extensions,Mathematics,flagged,1,1,0.0
2,2,24,0,0.07692307692307693,1.0,0,26,2406.03201v2,B1,Characteristic ideal of the fine Selmer group and results on $Œº$-invariance under isogeny in the function field case,Mathematics,flagged,2,2,
2,2,13,0,0.13333333333333333,1.0,0,15,2406.03201v2,B2,Characteristic ideal of the fine Selmer group and results on $Œº$-invariance under isogeny in the function field case,Mathematics,flagged,2,2,5.0
2,2,15,0,0.11764705882352941,1.0,0,17,2406.03201v2,B3,Characteristic ideal of the fine Selmer group and results on $Œº$-invariance under isogeny in the function field case,Mathematics,flagged,2,2,2.0
2,2,12,0,0.14285714285714285,1.0,0,14,2406.03201v2,GD,Characteristic ideal of the fine Selmer group and results on $Œº$-invariance under isogeny in the function field case,Mathematics,flagged,2,2,3.0
1,0,20,1,0.0,0.0,0,20,2406.04846v2,B1,Efficient Fault-Tolerant Single Qubit Gate Approximation And Universal Quantum Computation Without Using The Solovay-Kitaev Theorem,Physics,flagged,1,1,
1,0,9,1,0.0,0.0,0,9,2406.04846v2,B2,Efficient Fault-Tolerant Single Qubit Gate Approximation And Universal Quantum Computation Without Using The Solovay-Kitaev Theorem,Physics,flagged,1,1,3.0
1,1,8,0,0.1111111111111111,1.0,0,9,2406.04846v2,B3,Efficient Fault-Tolerant Single Qubit Gate Approximation And Universal Quantum Computation Without Using The Solovay-Kitaev Theorem,Physics,flagged,1,1,4.0
1,1,9,0,0.1,1.0,0,10,2406.04846v2,GD,Efficient Fault-Tolerant Single Qubit Gate Approximation And Universal Quantum Computation Without Using The Solovay-Kitaev Theorem,Physics,flagged,1,1,4.0
1,0,16,1,0.0,0.0,0,16,2406.06431v2,B1,"CR functions at CR singularities: approximation, extension, and hulls",Mathematics,not_flagged,1,1,
1,0,5,1,0.0,0.0,0,5,2406.06431v2,B2,"CR functions at CR singularities: approximation, extension, and hulls",Mathematics,flagged,1,1,0.0
1,0,12,1,0.0,0.0,0,12,2406.06431v2,B3,"CR functions at CR singularities: approximation, extension, and hulls",Mathematics,flagged,1,1,0.0
1,0,6,1,0.0,0.0,0,6,2406.06431v2,GD,"CR functions at CR singularities: approximation, extension, and hulls",Mathematics,flagged,1,1,0.0
1,0,23,1,0.0,0.0,0,23,2406.11623v4,B1,Nevanlinna Theory on Geodesic Balls of Complete K√§hler Manifolds,Mathematics,not_flagged,1,1,
1,0,14,1,0.0,0.0,0,14,2406.11623v4,B2,Nevanlinna Theory on Geodesic Balls of Complete K√§hler Manifolds,Mathematics,flagged,1,1,3.0
1,0,14,1,0.0,0.0,0,14,2406.11623v4,B3,Nevanlinna Theory on Geodesic Balls of Complete K√§hler Manifolds,Mathematics,flagged,1,1,0.0
1,0,11,1,0.0,0.0,0,11,2406.11623v4,GD,Nevanlinna Theory on Geodesic Balls of Complete K√§hler Manifolds,Mathematics,flagged,1,1,0.0
1,0,26,1,0.0,0.0,0,26,2406.15649v2,B1,Efficient Human Pose Estimation: Leveraging Advanced Techniques with MediaPipe,Computer Science,flagged,1,1,
1,0,15,1,0.0,0.0,0,15,2406.15649v2,B2,Efficient Human Pose Estimation: Leveraging Advanced Techniques with MediaPipe,Computer Science,flagged,1,1,6.0
1,0,14,1,0.0,0.0,0,14,2406.15649v2,B3,Efficient Human Pose Estimation: Leveraging Advanced Techniques with MediaPipe,Computer Science,flagged,1,1,6.0
1,0,18,1,0.0,0.0,0,18,2406.15649v2,GD,Efficient Human Pose Estimation: Leveraging Advanced Techniques with MediaPipe,Computer Science,flagged,1,1,3.0
2,1,18,1,0.05263157894736842,0.5,0,19,2407.02110v2,B1,On the uniqueness of the strictly convex quadrilateral central configuration with a fixed angle,Physics,flagged,2,2,
